mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
BE:7E:CC:35:1C:46,C11,2462,cap2,-73,133,7.065766551,125.59646504028139,11/11/2023 12:40
FE:47:AD:D7:13:E2,C1,2417,cap1,-59,133,7.065766551,125.59646504028139,11/11/2023 12:40
E6:4C:39:FC:36:8B,C2,2452,cap1,-73,133,7.065766551,125.59646504028139,11/11/2023 12:40
BE:7E:CC:35:1C:46,C11,2462,cap1,-65,133,7.065766551,125.59646504028139,11/11/2023 12:40
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,133,7.065766551,125.59646504028139,11/11/2023 12:40
FE:47:AD:D7:13:E2,C1,2412,cap2,-73,133,7.065766551,125.59646504028139,11/11/2023 12:40
BE:7E:CC:35:1C:46,C11,2457,cap2,-72,133,7.065766551,125.59646504028139,11/11/2023 12:40
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,133,7.065766551,125.59646504028139,11/11/2023 12:40
E6:4C:39:FC:36:8B,C2,2447,cap1,-60,133,7.065766551,125.59646504028139,11/11/2023 12:40
BE:7E:CC:35:1C:46,C11,2462,cap1,-65,133,7.065766551,125.59646504028139,11/11/2023 12:40
FE:47:AD:D7:13:E2,C1,2412,cap1,-68,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2442,cap1,-56,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2457,cap1,-63,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2437,cap3,-86,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2457,cap3,-89,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2422,cap2,-74,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2442,cap2,-69,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2452,cap2,-78,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2412,cap1,-65,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2442,cap1,-54,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2457,cap1,-59,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2412,cap2,-71,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2437,cap2,-70,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2462,cap2,-70,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2437,cap3,-90,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2412,cap3,-93,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2422,cap2,-71,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2447,cap2,-73,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2462,cap2,-71,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2422,cap1,-65,133,7.065766551,125.59646504028139,11/11/2023 12:41
E6:4C:39:FC:36:8B,C2,2447,cap1,-59,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2462,cap1,-64,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2417,cap3,-89,133,7.065766551,125.59646504028139,11/11/2023 12:41
BE:7E:CC:35:1C:46,C11,2457,cap3,-93,133,7.065766551,125.59646504028139,11/11/2023 12:41
FE:47:AD:D7:13:E2,C1,2422,cap2,-70,133,7.065766551,125.59646504028139,11/11/2023 12:42
E6:4C:39:FC:36:8B,C2,2437,cap2,-71,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2452,cap2,-74,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,133,7.065766551,125.59646504028139,11/11/2023 12:42
E6:4C:39:FC:36:8B,C2,2447,cap1,-60,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2462,cap1,-70,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2417,cap3,-89,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2457,cap3,-93,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2412,cap2,-72,133,7.065766551,125.59646504028139,11/11/2023 12:42
E6:4C:39:FC:36:8B,C2,2442,cap2,-86,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2457,cap2,-78,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2412,cap1,-65,133,7.065766551,125.59646504028139,11/11/2023 12:42
E6:4C:39:FC:36:8B,C2,2442,cap1,-55,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2457,cap1,-62,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2422,cap2,-78,133,7.065766551,125.59646504028139,11/11/2023 12:42
E6:4C:39:FC:36:8B,C2,2447,cap2,-76,133,7.065766551,125.59646504028139,11/11/2023 12:42
BE:7E:CC:35:1C:46,C11,2462,cap2,-77,133,7.065766551,125.59646504028139,11/11/2023 12:42
FE:47:AD:D7:13:E2,C1,2417,cap1,-57,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
E6:4C:39:FC:36:8B,C2,2442,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
BE:7E:CC:35:1C:46,C11,2452,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
FE:47:AD:D7:13:E2,C1,2412,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
BE:7E:CC:35:1C:46,C11,2462,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
E6:4C:39:FC:36:8B,C2,2432,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:43
FE:47:AD:D7:13:E2,C1,2417,cap3,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap1,-66,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2447,cap1,-67,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
BE:7E:CC:35:1C:46,C11,2462,cap1,-66,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2442,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
BE:7E:CC:35:1C:46,C11,2462,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2417,cap3,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2417,cap2,-73,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2442,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
BE:7E:CC:35:1C:46,C11,2462,cap2,-81,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2417,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
BE:7E:CC:35:1C:46,C11,2462,cap1,-66,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap2,-79,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
E6:4C:39:FC:36:8B,C2,2442,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
BE:7E:CC:35:1C:46,C11,2457,cap2,-88,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:44
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap1,-67,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2417,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2437,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2417,cap3,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2457,cap3,-91,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap1,-66,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2452,cap1,-79,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap1,-65,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2447,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap2,-72,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap1,-66,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap1,-65,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap1,-63,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap2,-83,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2447,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap2,-72,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2422,cap3,-99,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2457,cap3,-93,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
FE:47:AD:D7:13:E2,C1,2412,cap2,-81,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
BE:7E:CC:35:1C:46,C11,2462,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:45
E6:4C:39:FC:36:8B,C2,2442,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2462,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2417,cap3,-89,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2457,cap3,-92,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2442,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2447,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2457,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2422,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2447,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2457,cap2,-72,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2462,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2462,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
E6:4C:39:FC:36:8B,C2,2437,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
BE:7E:CC:35:1C:46,C11,2457,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap3,-87,134,7.065770876484254,125.59645481436868,11/11/2023 12:46
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2437,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2462,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2447,cap2,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2447,cap2,-79,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap3,-83,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2437,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2462,cap2,-80,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2452,cap1,-79,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2462,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2457,cap3,-94,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2417,cap1,-55,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2442,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
BE:7E:CC:35:1C:46,C11,2457,cap1,-64,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2422,cap2,-88,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
E6:4C:39:FC:36:8B,C2,2447,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:47
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2437,cap1,-60,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2462,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2417,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2432,cap2,-75,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2462,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2417,cap3,-86,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2457,cap3,-90,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap2,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2442,cap2,-74,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2452,cap2,-73,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2442,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2462,cap1,-61,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2462,cap3,-94,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap2,-82,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2447,cap2,-76,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2462,cap2,-78,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
E6:4C:39:FC:36:8B,C2,2452,cap1,-77,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
BE:7E:CC:35:1C:46,C11,2457,cap1,-59,134,7.065770876484254,125.59645481436868,11/11/2023 12:48
FE:47:AD:D7:13:E2,C1,2422,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2442,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap2,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap1,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap3,-92,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2457,cap3,-92,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap2,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2437,cap2,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap1,-56,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2457,cap3,-98,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2422,cap2,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2437,cap2,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap2,-83,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2417,cap1,-57,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2447,cap1,-61,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap3,-93,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2457,cap3,-92,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
E6:4C:39:FC:36:8B,C2,2452,cap2,-86,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
BE:7E:CC:35:1C:46,C11,2462,cap2,-74,135,7.065775527908076,125.59644291176483,11/11/2023 12:50
FE:47:AD:D7:13:E2,C1,2412,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2452,cap1,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2462,cap1,-54,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2437,cap3,-89,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2457,cap3,-94,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2417,cap2,-81,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2442,cap2,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2462,cap2,-74,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap1,-64,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2452,cap1,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2462,cap1,-55,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2447,cap2,-67,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2462,cap2,-79,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2457,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2417,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
E6:4C:39:FC:36:8B,C2,2442,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
BE:7E:CC:35:1C:46,C11,2462,cap1,-66,135,7.065775527908076,125.59644291176483,11/11/2023 12:51
FE:47:AD:D7:13:E2,C1,2412,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-73,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2462,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2457,cap3,-94,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap1,-62,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2462,cap1,-59,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-71,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2462,cap2,-71,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2457,cap3,-97,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2412,cap1,-63,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2452,cap1,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2457,cap1,-54,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2417,cap2,-75,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
E6:4C:39:FC:36:8B,C2,2447,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
BE:7E:CC:35:1C:46,C11,2462,cap2,-76,135,7.065775527908076,125.59644291176483,11/11/2023 12:52
FE:47:AD:D7:13:E2,C1,2417,cap3,-85,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
BE:7E:CC:35:1C:46,C11,2457,cap3,-91,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2422,cap1,-65,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2452,cap1,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
BE:7E:CC:35:1C:46,C11,2462,cap1,-61,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2417,cap2,-70,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2447,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
BE:7E:CC:35:1C:46,C11,2462,cap2,-72,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2412,cap1,-60,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
E6:4C:39:FC:36:8B,C2,2442,cap1,-57,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
BE:7E:CC:35:1C:46,C11,2462,cap1,-69,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
FE:47:AD:D7:13:E2,C1,2412,cap3,-87,135,7.065775527908076,125.59644291176483,11/11/2023 12:53
